genre,sold by,daily average.amazon revenue,daily average.author revenue,daily average.gross sales,daily average.publisher revenue,daily average.units sold,publisher.name,publisher.type,statistics.average rating,statistics.sale price,statistics.sales rank,statistics.total reviews
genre fiction,HarperCollins Publishers,6832.0,6832.0,34160.0,20496.0,7000,Katherine Tegen Books,big five,4.57,4.88,1,9604
genre fiction,HarperCollins Publishers,2487.5,2487.5,12437.5,7462.5,6250,HarperCollins e-books,big five,4.47,1.99,2,450
genre fiction,"Amazon Digital Services,  Inc.",9559.0,9559.0,47795.0,28677.0,5500,(Small or Medium Publisher),small/medium,4.16,8.69,3,30
fiction,Hachette Book Group,8250.0,8250.0,41250.0,24750.0,5500,"Little, Brown and Company",big five,3.84,7.5,3,3747
genre fiction,Penguin Group (USA) LLC,7590.5,7590.5,37952.5,22771.5,4750,Dutton Children's,big five,4.75,7.99,4,9174
genre fiction,"Amazon Digital Services,  Inc.",12974.0,6986.0,19960.0,0.0,4000,Thomas & Mercer,amazon,4.05,4.99,5,40
genre fiction,HarperCollins Publishers,5498.334,5498.334,27491.67,16495.002,3933,Katherine Tegen Books,big five,3.16,6.99,6,7026
nonfiction,Hachette Book Group,5236.4,5236.4,26182.0,15709.2,3800,Center Street,big five,4.31,6.89,8,369
genre fiction,HarperCollins Publishers,5218.734,5218.734,26093.67,15656.202,3733,Katherine Tegen Books,big five,4.58,6.99,9,5926
genre fiction,Random House LLC,4758.468,4758.468,23792.34,14275.404,3666,Doubleday,big five,4.52,6.49,10,7132
genre fiction,"Amazon Digital Services,  Inc.",11676.6,6287.4,17964.0,0.0,3600,Thomas & Mercer,amazon,4.51,4.99,11,39
fiction,Penguin Group (USA) LLC,4312.8,4312.8,21564.0,12938.4,3600,Putnam Adult,big five,4.31,5.99,11,5113
genre fiction,"Amazon Digital Services,  Inc.",2230.371,1200.969,3431.34,0.0,3466,(Indie Publisher),indie,4.11,0.99,13,182
genre fiction,HarperCollins Publishers,1379.468,1379.468,6897.34,4138.404,3466,William Morrow Paperbacks,big five,4.59,1.99,13,2508
genre fiction,Random House LLC,4359.564,4359.564,21797.82,13078.692,3333,Knopf Books for Young Readers,big five,4.64,6.54,15,7953
genre fiction,"Amazon Digital Services,  Inc.",10593.271,5704.069,16297.34,0.0,3266,Thomas & Mercer,amazon,4.1,4.99,16,890
genre fiction,"Amazon Digital Services,  Inc.",10379.2,5588.8,15968.0,0.0,3200,Skyscape,amazon,4.5,4.99,17,36
genre fiction,"Amazon Digital Services,  Inc.",10379.2,5588.8,15968.0,0.0,3200,Amazon Publishing,amazon,3.87,4.99,17,16
genre fiction,Simon and Schuster Digital Sales Inc,1246.934,1246.934,6234.67,3740.802,3133,Simon & Schuster,big five,4.49,1.99,18,1734
genre fiction,"Amazon Digital Services,  Inc.",1972.971,1062.369,3035.34,0.0,3066,(Indie Publisher),indie,4.63,0.99,19,113
genre fiction,"Amazon Digital Services,  Inc.",7606.7355,4095.9345,11702.67,0.0,2933,Amazon Publishing,amazon,4.43,3.99,21,2747
genre fiction,"Amazon Digital Services,  Inc.",2570.802,5998.538,8569.34,0.0,2866,(Indie Publisher),indie,4.55,2.99,22,640
genre fiction,"Amazon Digital Services,  Inc.",1801.8,970.2,2772.0,0.0,2800,(Indie Publisher),indie,4.38,0.99,23,149
genre fiction,"Amazon Digital Services,  Inc.",2451.501,5720.169,8171.67,0.0,2733,(Indie Publisher),indie,4.02,2.99,24,231
genre fiction,"Amazon Digital Services,  Inc.",527.868,527.868,2639.34,1583.604,2666,(Single-Author Publisher),single author,4.36,0.99,25,611
genre fiction,"Amazon Digital Services,  Inc.",2332.2,5441.8,7774.0,0.0,2600,(Indie Publisher),indie,4.62,2.99,26,229
genre fiction,Penguin Group (USA) LLC,5380.812,5380.812,26904.06,16142.436,2466,Viking Adult,big five,4.4,10.91,28,701
genre fiction,"Amazon Digital Services,  Inc.",1544.4,831.6,2376.0,0.0,2400,(Indie Publisher),indie,4.71,0.99,29,84
nonfiction,Hachette Book Group,1915.2,1915.2,9576.0,5745.6,2400,"Little, Brown and Company",big five,4.63,3.99,29,5369
genre fiction,"Amazon Digital Services,  Inc.",2792.601,6516.069,9308.67,0.0,2333,(Indie Publisher),indie,4.67,3.99,30,129
genre fiction,"Amazon Digital Services,  Inc.",2931.071,1578.269,4509.34,0.0,2266,Montlake Romance,amazon,4.25,1.99,31,111
genre fiction,"Amazon Digital Services,  Inc.",1415.7,762.3,2178.0,0.0,2200,(Indie Publisher),indie,4.67,0.99,32,161
genre fiction,HarperCollins Publishers,2635.6,2635.6,13178.0,7906.8,2200,William Morrow,big five,4.19,5.99,32,308
nonfiction,HarperCollins Publishers,409.068,409.068,2045.34,1227.204,2066,HarperPerennial Classics,big five,4.62,0.99,34,1490
genre fiction,Random House LLC,3596.0,3596.0,17980.0,10788.0,2000,Crown,big five,3.77,8.99,35,16062
genre fiction,"Amazon Digital Services,  Inc.",1276.704,687.456,1964.16,0.0,1984,(Indie Publisher),indie,4.34,0.99,36,1684
genre fiction,"Amazon Digital Services,  Inc.",392.832,392.832,1964.16,1178.496,1984,(Single-Author Publisher),single author,4.53,0.99,36,66
